ID,R,G,B
4,88,124,39
5,108,151,47
6,125,176,55
7,66,93,29
8,172,162,114
9,210,199,138
10,244,230,161
11,128,122,85
12,138,138,138
13,169,169,169
14,197,197,197
15,104,104,104
16,178,0,0
17,217,0,0
18,252,0,0
19,133,0,0
20,111,111,178
21,136,136,217
22,158,158,252
23,83,83,133
24,116,116,116
25,142,142,142
26,165,165,165
27,87,87,87
28,0,86,0
29,0,105,0
30,0,123,0
31,0,64,0
32,178,178,178
33,217,217,217
34,252,252,252
35,133,133,133
36,114,117,127
37,139,142,156
38,162,166,182
39,85,87,96
40,105,75,53
41,128,93,65
42,149,108,76
43,78,56,39
44,78,78,78
45,95,95,95
46,111,111,111
47,58,58,58
48,44,44,178
49,54,54,217
50,63,63,252
51,33,33,133
52,99,83,49
53,122,101,61
54,141,118,71
55,74,62,38
56,178,175,170
57,217,214,208
58,252,249,242
59,133,131,127
60,150,88,36
61,184,108,43
62,213,125,50
63,113,66,27
64,124,52,150
65,151,64,184
66,176,75,213
67,93,39,113
68,71,107,150
69,87,130,184
70,101,151,213
71,53,80,113
72,159,159,36
73,195,195,43
74,226,226,50
75,120,120,27
76,88,142,17
77,108,174,21
78,125,202,25
79,66,107,13
80,168,88,115
81,206,108,140
82,239,125,163
83,126,66,86
84,52,52,52
85,64,64,64
86,75,75,75
87,39,39,39
88,107,107,107
89,130,130,130
90,151,151,151
91,80,80,80
92,52,88,107
93,64,108,130
94,75,125,151
95,39,66,80
96,88,43,124
97,108,53,151
98,125,62,176
99,66,33,93
100,36,52,124
101,43,64,151
102,50,75,176
103,27,39,93
104,71,52,36
105,87,64,43
106,101,75,50
107,53,39,27
108,71,88,36
109,87,108,43
110,101,125,50
111,53,66,27
112,107,36,36
113,130,43,43
114,151,50,50
115,80,27,27
116,17,17,17
117,21,21,21
118,25,25,25
119,13,13,13
120,174,166,53
121,212,203,65
122,247,235,76
123,130,125,39
124,63,152,148
125,78,186,181
126,91,216,210
127,47,114,111
128,51,89,178
129,62,109,217
130,73,129,252
131,39,66,133
132,0,151,39
133,0,185,49
134,0,214,57
135,0,113,30
136,90,59,34
137,110,73,41
138,127,85,48
139,67,44,25
140,78,1,0
141,95,1,0
142,111,2,0
143,58,1,0
